width_pitch,width_rib_a,width_rib_air,height_anode,height_cathode,height_electrolyte,current,max_temperature,min_temperature,Delta_T
1.8,1.2,1.2,0.46,0.025,0.01,3484.75681808063,1065.46167546642,966.9750084631,98.48666700332
1.8,1.2,1.2,0.46,0.025,0.014,3341.69352673738,1065.77470394378,971.209348253642,94.565355690138
1.8,1.2,1.2,0.46,0.03,0.01,3492.78098868243,1065.44716255239,966.751843432581,98.6953191198089
1.8,1.2,1.2,0.46,0.03,0.014,3349.31071840066,1065.76092985006,970.996329679798,94.7646001702619
2,0.8,0.8,0.36,0.02,0.01,3648.06243095308,1056.11589726936,950.349473990513,105.766423278847
2,0.8,0.8,0.36,0.02,0.014,3487.90470829601,1056.8875995214,955.551840663779,101.335758857621
2,0.8,0.8,0.36,0.025,0.01,3652.08170901626,1056.10755330242,950.22881023023,105.87874307219
2,0.8,0.8,0.36,0.025,0.014,3491.86164232841,1056.87936930086,955.432271216556,101.447098084304
2,0.8,0.8,0.36,0.03,0.01,3654.99949467302,1056.10419428092,950.14085892626,105.96333535466
2,0.8,0.8,0.36,0.03,0.014,3494.73133785253,1056.87599308434,955.345251300765,101.530741783575
2,0.8,0.8,0.41,0.02,0.01,3514.08487704696,1056.74437162084,954.698589267877,102.045782352963
2,0.8,0.8,0.41,0.02,0.014,3364.50121214244,1057.45541281049,959.571952398221,97.8834604122691
2,0.8,0.8,0.41,0.025,0.01,3518.20891819983,1056.73600221115,954.573848236725,102.162153974425
2,0.8,0.8,0.41,0.025,0.014,3368.48023808019,1057.44734317641,959.450464760495,97.9968784159149
2,0.8,0.8,0.41,0.03,0.01,3521.20707779573,1056.73271448076,954.483288457091,102.249426023669
2,0.8,0.8,0.41,0.03,0.014,3371.36440384053,1057.44413221426,959.362071808592,98.082060405668
2,0.8,0.8,0.46,0.02,0.01,3383.93088446916,1057.34935076953,958.93488987514,98.41446089439
2,0.8,0.8,0.46,0.02,0.014,3245.70074176021,1058.00066891575,963.450453303254,94.5502156124961
2,0.8,0.8,0.46,0.025,0.01,3388.07651842542,1057.34105388795,958.808879687221,98.5321742007291
2,0.8,0.8,0.46,0.025,0.014,3249.66198197105,1057.99278326314,963.328916728028,94.6638665351119
2,0.8,0.8,0.46,0.03,0.01,3391.0877793144,1057.33781326577,958.717344845609,98.6204684201609
2,0.8,0.8,0.46,0.03,0.014,3252.53248455048,1057.98972499772,963.240618304648,94.749106693072
2,0.8,1,0.36,0.02,0.01,3630.85708597494,1059.60701364096,950.898421984318,108.708591656642
2,0.8,1,0.36,0.02,0.014,3470.9272656087,1060.21938335873,956.098672104436,104.120711254294
2,0.8,1,0.36,0.025,0.01,3636.75057716972,1059.59340472053,950.719740969862,108.873663750668
2,0.8,1,0.36,0.025,0.014,3476.6990265212,1060.2059836742,955.921137488115,104.284846186085
2,0.8,1,0.36,0.03,0.01,3641.12133760076,1059.58533375161,950.586731995599,108.998601756011
2,0.8,1,0.36,0.03,0.014,3480.97944721568,1060.19802539078,955.789394207404,104.408631183376
2,0.8,1,0.41,0.02,0.01,3496.52561825113,1060.1101226309,955.262766890964,104.847355739936
2,0.8,1,0.41,0.02,0.014,3347.49245668409,1060.6734412272,960.120886756251,100.552554470949
2,0.8,1,0.41,0.025,0.01,3502.54470175791,1060.09622893575,955.077724812036,105.018504123714
2,0.8,1,0.41,0.025,0.014,3353.30180655115,1060.66012942047,959.941563631469,100.718565789001
2,0.8,1,0.41,0.03,0.01,3507.0188064637,1060.08804684156,954.940849826083,105.147197015477
2,0.8,1,0.41,0.03,0.014,3357.60444435183,1060.65222756856,959.808273314306,100.843954254254
2,0.8,1,0.46,0.02,0.01,3366.36640974007,1060.59293660149,959.501333985169,101.091602616321
2,0.8,1,0.46,0.02,0.014,3228.85571200734,1061.10844319261,963.99557441929,97.1128687733199
2,0.8,1,0.46,0.025,0.01,3372.41572475618,1060.57909326771,959.315066560527,101.264026707183
2,0.8,1,0.46,0.025,0.014,3234.64564423271,1061.09530691998,963.816749618869,97.2785573011109
2,0.8,1,0.46,0.03,0.01,3376.9000621768,1060.57085208818,959.17646952338,101.3943825648
2,0.8,1,0.46,0.03,0.014,3238.92722346273,1061.08750707488,963.683626896109,97.403880178771
2,0.8,1.2,0.36,0.02,0.01,3602.26664290032,1061.98654083063,951.756204315919,110.230336514711
2,0.8,1.2,0.36,0.02,0.014,3442.98005354291,1062.49110470954,956.946975968662,105.544128740878
2,0.8,1.2,0.36,0.025,0.01,3610.76558515134,1061.96780347361,951.504271659331,110.463531814279
2,0.8,1.2,0.36,0.025,0.014,3451.29118212234,1062.47266450097,956.697292493808,105.775372007162
2,0.8,1.2,0.36,0.03,0.01,3617.29409759069,1061.95443937095,951.310563685874,110.643875685076
2,0.8,1.2,0.36,0.03,0.014,3457.66847394856,1062.45950923538,956.50516617861,105.95434305677
2,0.8,1.2,0.41,0.02,0.01,3467.63414221695,1062.40654565528,956.137659273384,106.268886381896
2,0.8,1.2,0.41,0.02,0.014,3319.68538615292,1062.86966667343,960.970976677218,101.898689996212
2,0.8,1.2,0.41,0.025,0.01,3476.30002481998,1062.38736405631,955.87833326907,106.50903078724
2,0.8,1.2,0.41,0.025,0.014,3328.04789231435,1062.85111123186,960.718804427882,102.132306803978
2,0.8,1.2,0.41,0.03,0.01,3482.94923213547,1062.3736261429,955.678241409053,106.695384733847
2,0.8,1.2,0.41,0.03,0.014,3334.44874427731,1062.83782935027,960.523961555701,102.313867794569
2,0.8,1.2,0.46,0.02,0.01,3337.63752455702,1062.80786360816,960.377556257736,102.430307350424
2,0.8,1.2,0.46,0.02,0.014,3201.42093480704,1063.23104554941,964.839548699651,98.3914968497591
2,0.8,1.2,0.46,0.025,0.01,3346.33780319552,1062.78855098604,960.116020661761,102.672530324279
2,0.8,1.2,0.46,0.025,0.014,3209.75015953059,1063.21245074585,964.586683473898,98.625767271952
2,0.8,1.2,0.46,0.03,0.01,3353.00623433392,1062.77472699272,959.914143674068,102.860583318652
2,0.8,1.2,0.46,0.03,0.014,3216.1266877369,1063.19922654302,964.392163253578,98.8070632894419
2,1,0.8,0.36,0.02,0.01,3638.45706833373,1056.21476250336,950.691772076268,105.522990427092
2,1,0.8,0.36,0.02,0.014,3479.1179485377,1056.97826955505,955.866807919818,101.111461635232
2,1,0.8,0.36,0.025,0.01,3641.81183210686,1056.20921598727,950.587957589463,105.621258397807
2,1,0.8,0.36,0.025,0.014,3482.40590043883,1056.9727275413,955.76381597158,101.20891156972
2,1,0.8,0.36,0.03,0.01,3644.2093392246,1056.20821499992,950.513397063757,105.694817936163
2,1,0.8,0.36,0.03,0.014,3484.76400951008,1056.97171420316,955.690800741544,101.280913461616
